episode_num,date,symbol,resolved_symbol,market,sector,structure,trade_type,status,confidence,strategy,invalidation,horizon_sessions,policy_version,entry_bar_date,entry_price,exit_bar_date,exit_price,pnl_pct,pnl_dollars,stopped_out,nasdaq_return_pct,alpha_pct,void_reason,rules_in_effect,reviewed_in_episode,option_structure,option_expiry,option_strike,option_premium,option_contracts,option_underlying_entry,option_capital_usd,option_premium_received_usd,option_quoted_at,option_quote_source,stop_pct,stop_price,in_current_era
5,2026-03-26,SOFI,,NASDAQ,,,weekly,closed,Medium,Contrarian mean-reversion play on elevated short interest against a fundamentally improving digital banking franchise.,,,,,17.16,,15.87,-7.49,-74.91,,,,,,0,,,,,,,,,,,,,False
7,2026-03-27,WDC,,NASDAQ,,,weekly,closed,Medium,Fundamental growth play on cloud-driven revenue and margin expansion amid memory-sector volatility.,,,,,282.43,,294.97,4.44,44.4,,,,,,0,,,,,,,,,,,,,False
10,2026-04-01,TSLA,,NASDAQ,,,weekly,closed,Medium,"Contrarian fade of negative analyst sentiment following recent price weakness, betting on eventual relief-driven rebound.",,,,,365.86,,360.59,-1.44,-14.4,,,,,,0,,,,,,,,,,,,,False
13,2026-04-06,C,,NYSE,,,weekly,closed,Medium,Valuation-driven core banking play ahead of Investor Day with attractive multiples relative to sector.,,,,,115.8,,124.92,7.88,78.76,,,,,,0,,,,,,,,,,,,,False
14,2026-04-07,SSNLF,,NASDAQ,,,weekly,closed,Medium,Earnings-surprise momentum play on AI memory chip demand,,,,,65.21,,65.21,0.0,0.0,,,,,,0,,,,,,,,,,,,,False
17,2026-04-10,SSRM,,TSX,precious_metals,,weekly,closed,Medium,Balance-sheet-recapitalization play on $1.5 billion cash infusion combined with recent insider buying.,,,,,32.52,,31.15,-4.21,-42.13,,0.0,-4.21,,,0,,,,,,,,,,,,,False
19,2026-04-14,TMUS,,NASDAQ,tech,,weekly,closed,Medium,Relative value rotation into US telecom after analyst reassessment highlights superior risk/reward versus European peer.,,,,,195.92,,197.12,0.61,6.12,,1.96,-1.35,,,0,,,,,,,,,,,,,False
23,2026-04-20,CLDX,,NASDAQ,other,,flash,closed,Medium,Analyst upgrade play on successful Phase 3 results and accelerated enrollment,,,,,35.79,,34.38,-3.94,-39.4,,0.0,-3.94,,,0,,,,,,,,,,,,,False
27,2026-04-24,TECK,,TSX,precious_metals,,weekly,closed,Medium,Sector rotation into mining on positive earnings reaction amid commodity supply disruptions,,,,,60.2,,58.43,-2.94,-29.4,,0.0,-2.94,,,0,,,,,,,,,,,,,False
30,2026-04-29,EXE,,NYSE,other,,flash,closed,Medium,Valuation discipline on lowest sector multiple combined with scale advantages from recent merger,,,,,99.13,,100.99,1.88,18.76,,0.0,1.88,,,0,,,,,,,,,,,,,False
